Title,DOI
Immunotherapy: A new target for cancer cure (Review),10.3892/or.2023.8537
Embryos Assist Each Other’s Morphogenesis: calcium and ATP signaling mechanisms in collective resistance to teratogens.,10.31219/osf.io/ps987
"Dormant cancer cells: programmed quiescence, senescence, or both?",10.1007/s10555-022-10073-z
Bioelectricity in Developmental Patterning and Size Control: Evidence and Genetically Encoded Tools in the Zebrafish Model,10.3390/cells12081148
Cellular Competency during Development Alters Evolutionary Dynamics in an Artificial Embryogeny Model,10.3390/e25010131
Integrative biology of injury in animals,10.1111/brv.12894
"Morphoceuticals: Perspectives for discovery of drugs targeting anatomical control mechanisms in regenerative medicine, cancer and aging",10.1016/j.drudis.2023.103585
"The scaling of goals from cellular to anatomical homeostasis: an evolutionary simulation, experiment and analysis",10.1098/rsfs.2022.0072
Host-symbiont interactions in Angomonas deanei include the evolution of a host-derived dynamin ring around the endosymbiont division site,10.1016/j.cub.2022.11.020
A revised central dogma for the 21st century:all biology is cognitive information processing,10.1016/j.pbiomolbio.2023.05.005
"Cellular signaling pathways as plastic, proto-cognitive systems: Implications for biomedicine",10.1016/j.patter.2023.100737
Information integration during bioelectric regulation of morphogenesis in the embryonic frog brain,10.1101/2023.01.08.523164
Multispecies collective waving behaviour in fish,10.1098/rstb.2022.0069
"Neuromorphic learning, working memory, and metaplasticity in nanowire networks",10.1126/sciadv.adg3289
Bioelectric networks: the cognitive glue enabling evolutionary scaling from physiology to mind,10.1007/s10071-023-01780-3
Darwin's agential materials: evolutionary implications of multiscale competency in developmental biology,10.1007/s00018-023-04790-z
Future medicine: from molecular pathways to the collective intelligence of the body,10.1016/j.molmed.2023.06.007
Control of Tissue Development by Morphogens,10.1146/annurev-cellbio-020823-011522
V-ATPase Regulates Retinal Progenitor Cell Proliferation During Eye Regrowth in Xenopus,10.1089/jop.2022.0085
Autonomous rhythmic activity in glioma networks drives brain tumour growth,10.1038/s41586-022-05520-4
The significance of bioelectricity on all levels of organization of an organism. Part 1: From the subcellular level to cells,10.1016/j.pbiomolbio.2022.12.002
Regulative development as a model for origin of life and artificial life studies,10.1016/j.biosystems.2023.104927
Sodium channel-inhibiting drugs and cancer-specific survival: a population-based study of electronic primary care data,10.1136/bmjopen-2022-064376
