Title,DOI,URL
Immunotherapy: A new target for cancer cure (Review),10.3892/or.2023.8537,https://www.spandidos-publications.com/10.3892/or.2023.8537/download
Embryos Assist Each Other’s Morphogenesis: calcium and ATP signaling mechanisms in collective resistance to teratogens.,10.31219/osf.io/ps987,NA
"Dormant cancer cells: programmed quiescence, senescence, or both?",10.1007/s10555-022-10073-z,https://link.springer.com/content/pdf/10.1007/s10555-022-10073-z.pdf
Bioelectricity in Developmental Patterning and Size Control: Evidence and Genetically Encoded Tools in the Zebrafish Model,10.3390/cells12081148,https://www.mdpi.com/2073-4409/12/8/1148/pdf?version=1681377797
Cellular Competency during Development Alters Evolutionary Dynamics in an Artificial Embryogeny Model,10.3390/e25010131,https://www.mdpi.com/1099-4300/25/1/131/pdf?version=1673602899
Integrative biology of injury in animals,10.1111/brv.12894,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/brv.12894
"Morphoceuticals: Perspectives for discovery of drugs targeting anatomical control mechanisms in regenerative medicine, cancer and aging",10.1016/j.drudis.2023.103585,NA
"The scaling of goals from cellular to anatomical homeostasis: an evolutionary simulation, experiment and analysis",10.1098/rsfs.2022.0072,NA
Host-symbiont interactions in Angomonas deanei include the evolution of a host-derived dynamin ring around the endosymbiont division site,10.1016/j.cub.2022.11.020,NA
A revised central dogma for the 21st century:all biology is cognitive information processing,10.1016/j.pbiomolbio.2023.05.005,NA
"Cellular signaling pathways as plastic, proto-cognitive systems: Implications for biomedicine",10.1016/j.patter.2023.100737,http://www.cell.com/article/S2666389923000776/pdf
Information integration during bioelectric regulation of morphogenesis in the embryonic frog brain,10.1101/2023.01.08.523164,https://www.biorxiv.org/content/biorxiv/early/2023/02/10/2023.01.08.523164.full.pdf
Multispecies collective waving behaviour in fish,10.1098/rstb.2022.0069,NA
"Neuromorphic learning, working memory, and metaplasticity in nanowire networks",10.1126/sciadv.adg3289,https://www.science.org/doi/pdf/10.1126/sciadv.adg3289?download=true
Bioelectric networks: the cognitive glue enabling evolutionary scaling from physiology to mind,10.1007/s10071-023-01780-3,https://link.springer.com/content/pdf/10.1007/s10071-023-01780-3.pdf
Darwin's agential materials: evolutionary implications of multiscale competency in developmental biology,10.1007/s00018-023-04790-z,https://link.springer.com/content/pdf/10.1007/s00018-023-04790-z.pdf
Future medicine: from molecular pathways to the collective intelligence of the body,10.1016/j.molmed.2023.06.007,NA
Control of Tissue Development by Morphogens,10.1146/annurev-cellbio-020823-011522,NA
V-ATPase Regulates Retinal Progenitor Cell Proliferation During Eye Regrowth in Xenopus,10.1089/jop.2022.0085,NA
Autonomous rhythmic activity in glioma networks drives brain tumour growth,10.1038/s41586-022-05520-4,NA
The significance of bioelectricity on all levels of organization of an organism. Part 1: From the subcellular level to cells,10.1016/j.pbiomolbio.2022.12.002,NA
Regulative development as a model for origin of life and artificial life studies,10.1016/j.biosystems.2023.104927,https://psyarxiv.com/rdt7f/download
Sodium channel-inhibiting drugs and cancer-specific survival: a population-based study of electronic primary care data,10.1136/bmjopen-2022-064376,https://bmjopen.bmj.com/content/bmjopen/13/2/e064376.full.pdf
Entropy and Fractal Techniques for Monitoring Fish Behaviour and Welfare in Aquacultural Precision Fish Farming-A Review,10.3390/e25040559,https://www.mdpi.com/1099-4300/25/4/559/pdf?version=1679665072
Developmental cell fate choice in neural tube progenitors employs two distinct cis-regulatory strategies,10.1016/j.devcel.2022.11.016,http://www.cell.com/article/S1534580722008164/pdf
The brain is not mental! coupling neuronal and immune cellular processing in human organisms,10.3389/fnint.2023.1057622,https://www.frontiersin.org/articles/10.3389/fnint.2023.1057622/pdf
"A computational model of cell membrane bioelectric polarization and depolarization, connected with cell proliferation, in different tissue geometries",10.1016/j.jtbi.2022.111338,NA
"There's Plenty of Room Right Here: Biological Systems as Evolved, Overloaded, Multi-Scale Machines",10.3390/biomimetics8010110,https://www.mdpi.com/2313-7673/8/1/110/pdf?version=1678711180
Biological Robots: Perspectives on an Emerging Interdisciplinary Field,10.1089/soro.2022.0142,NA
A nonlinear neural network based on an analog DNA toehold mediated strand displacement reaction circuit,10.1039/d1nr06861j,NA
Information theory in vertebrate stress physiology,10.1016/j.tem.2021.10.001,http://manuscript.elsevier.com/S1043276021002290/pdf/S1043276021002290.pdf
Outsourced hearing in an orb-weaving spider that uses its web as an auditory sensor,10.1073/pnas.2122789119,NA
Regulation of Ion Channel Function in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Cancer Cell Secretion Through DNA Methylation,10.3389/fcvm.2022.839104,https://www.frontiersin.org/articles/10.3389/fcvm.2022.839104/pdf
