Title,DOI
Effects of low-frequencymagnetic fields on bacterial growth rate,10.1088/0031-9155/26/4/005
Magn etic fields affect the Lac operon system,10.1088/0031-9155/27/4/014
Modulation of gene expression in experimental endochondral ossification by pulling electromagnetic fields,10.1002/jbmr.5650040215
Influence of a permanent magnetic field on biological systems,10.1016/s0304-8853(10)80013-7
Structural changes in  the central nervous system caused by exposure to permanent magnetic field,10.1007/bf00854700
Ionic currents traverse the slime mold Physarum,10.1016/0309-1651(81)90007-2
Effects of electromagnetic fields of extremely low frequency on white mice,10.1097/00004669-199109000-00017
Thermophysiological effects of electromagnetic radiatio n,10.1109/memb.1987.5006373
Constraints of thermal noise on the effects of weak 60 -Hz magnetic fields acting on biological magnetite,10.1073/pnas.91.8.2925
Magnetic stimulation of polysaccharide accumulation in cutures of Streptococcus mutans,10.1139/m83-074
Magnetic response in cultures of Streptococcus mutans,10.1139/m83-074
Frequency and power windowing in tissue  interactions with weak electromagnetic fields,10.1109/proc.1980.11591
Nonlinear,10.1063/1.2210425
Extracellular space  and energetic heararchies in electrochemical signaling between cells,10.1007/978-1-4613-0557-6_25
Effect of low temperature on the ultraweak luminescence of plants,10.1016/0022-2313(81)90093-4
Effects of pulsed electromagnetic fi elds on growth and differentiation of embryonal carcinoma cells,10.1002/jcp.1041240212
Do microwaves alter nervous system structure,10.1111/j.1749-6632.1975.tb35986.x
Electromagnetic fields and public health,10.1289/ehp.8775159
Resposnes of the neuroglia of the brain to the action of a constant magnetic field,10.18524/0367-1631.2019.56.170779
Does the geometric design of centrioles imply their function,10.1002/cm.970010206
The iris diaphragm model of centriole and basal body formation,10.1002/cm.970170307
Surface extensions of 3T3 cells towards distant infrared light sources,10.1083/jcb.114.3.493
Cellular infrared detector appears to be contained in the centrosome,10.1002/cm.970270307
Electrokinetic fields of hydrobionts,10.1007/978-3-319-09318-5_2
Difference in fr equency spectrum of ELF effects on the genome conformational state of AB1157 and EMG2 E. coli  cells,10.1002/(sici)1521-186x(1996)17:5<384::aid-bem5>3.0.co;2-#
Cell movements,10.1016/0962-8924(92)90202-x
Analysis of the combined  effect of magnetic fields,10.1038/scientificamerican09121914-171asupp
Effects of AC magnetic fields of low frequency on behavior of mice in T -shaped mazes,10.1049/ic:19951007
Induction of chromosomal alignment by high frequency electric fields,10.1016/0014-5793(80)80226-2
Biomagnetic measurements using SQUIDs,10.3109/00207458708987144
Cybernetics and development,10.1057/jors.1966.85
The effects of pulsed magnetic fields on bone and cartilage in vitro,10.1016/s0031-8914(58)80514-5
Ionic currents traverse growing hyphae and sporangia of the mycelial water mold Achyla debaryana,10.1007/bf01293582
Adhesion and polarity of amphibian embryo blastomeres,10.1016/s1569-2574(03)09004-x
Rotation of an isolated ce ll in a  rotating electric field,10.1007/bf00396446
Effect of weak low-frequency electromagnetic fields on myocardial morphology,10.1103/physreva.43.1039
Magnetic shielding induces early developmental abnormalities in the newt,10.1002/bem.2250120403
The differentiation of osteoprogenitor cells with direct current on rat   femur,10.1152/ajpendo.1997.273.6.e1133
Adsorption and conversion of energy from dynamic electric fields by membrane proteins,10.1146/annurev.ph.50.030188.001421
Bending transients during responses to electric stimulation of sea urchin embryos,10.1002/cm.970070303
Development of L -glutamate - and glycine -activated currents in spinal cord neurons during early chick embryogenesis,10.1113/jphysiol.1990.sp018028
Ultraweak photon emission in germinating seeds: a signal of biological order,10.1002/bio.1170060403
Electrical stimulation of articular cartilage regeneration,10.1111/j.1749-6632.1974.tb26815.x
Weak,10.1017/9781139030267.028
Note on the galvanotropic reactions of the medusa Polyorchis penicillata,10.1002/jez.1400010204
The effect of Ohmic return currents on biomagnetic fields,10.1016/s0022-5193(87)80040-1
Electrical osteogenesis in the rabbit tibial medullary  canal at currents below one microampere,10.1002/jor.1100040104
Pulsed magnetic field therapy for tibial non -union,10.1016/s0140-6736(84)91092-4
Nonlinear interactions of electromagnetic waves with biological materials,10.1016/b978-0-12-709660-5.50017-7
Healing r ate of human skin determined bymeasurement of the electrical potential of experimental abrasions,10.1016/s0002-9610(45)90351-5
Biological effect of a magnetic field and the radiation syndrome,10.1038/1811785a0
